section,xtext,status_code,status_note,ordinal,xtext
S3.1.3.b,"EGRI rejects Contest labels having no printable characters",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI rejects Contest labels that decode to a Unicode malformed surrogate pair (Unicode Category Cs). See [JSON RFC Errata 7603](https://www.rfc-editor.org/errata/eid7603)",ics,,50,"Implementation code exists covering a portion of code paths considered substantial"
S3.1.3.b,"EGRI accepts ContestOption labels composed of printable characters and (internal, non-contiguous) 0x20 space characters",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI rejects ContestOption labels that contain line break characters",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI rejects ContestOption labels that have leading or trailing whitespace",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI rejects ContestOption labels that contain contiguous sequences of whitespace other than a single 0x20 space",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI rejects ContestOption labels that contain special characters (Unicode Category Cc, Cf, Zs, Zl, Zp, or Cs)",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI rejects ContestOption labels having no printable characters",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI rejects ContestOption labels that decode to a Unicode malformed surrogate pair (Unicode Category Cs). See [JSON RFC Errata 7603](https://www.rfc-editor.org/errata/eid7603)",ics,,50,"Implementation code exists covering a portion of code paths considered substantial"
S3.1.3.b,"EGRI accepts BallotStyle labels composed of printable characters and (internal, non-contiguous) 0x20 space characters",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI rejects BallotStyle labels that contain line break characters",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI rejects BallotStyle labels that have leading or trailing whitespace",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI rejects BallotStyle labels that contain contiguous sequences of whitespace other than a single 0x20 space",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI rejects BallotStyle labels that contain special characters (Unicode Category Cc, Cf, Zs, Zl, Zp, or Cs)",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI rejects BallotStyle labels having no printable characters",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.b,"EGRI rejects BallotStyle labels that decode to a Unicode malformed surrogate pair (Unicode Category Cs). See [JSON RFC Errata 7603](https://www.rfc-editor.org/errata/eid7603)",ics,,50,"Implementation code exists covering a portion of code paths considered substantial"
S3.1.3.c,"Index values are integers in the range 1 <= i < 2^31",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.d,"Every Contest in the Election Manifest is uniquely identified by a Contest Index value assigned starting at 1 and continuing in the order defined in the Election Manifest.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.e,"Every Selectable Option in every Contest is identified uniquely (within the Contest) by an Option Index value assigned starting at 1 (anew for each Contest) and continuing in the order defined in the in the Election Manifest.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.e,"If additional data fields are present for a Contest, they are assigned Indices continuing after the Selectable Options.",ics,,50,"Implementation code exists covering a portion of code paths considered substantial"
S3.1.3.f,"The Election Manifest defines a single ordered list of all Ballot Styles in the election.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.f,"Every Ballot Style in the Election Manifest is uniquely identified by a Ballot Style Index value assigned starting at 1 and continuing in the order defined in the Election Manifest.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.f,"The first Ballot Style within the election manifest has index value 1.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.f,"Every Ballot Style defines a label unique across all Ballot Styles in the manifest",nyi,,4,"Not yet implemented"
S3.1.3.f,"Every Ballot Style defines a single list of Contest Indices.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.f,"Order of occurence is not significant within a Ballot Style Contest Index list.",ics,,50,"Implementation code exists covering a portion of code paths considered substantial"
S3.1.3.f,"EGRI rejects any Election Manifest having a Ballot Style with a Contest Index list containing a Contest Index that does not refer to a contest in the Election Manifest.",uts,,65,"Unit tests exercising a portion of code paths considered sufficient exist"
S3.1.3.f,"EGRI rejects any Election Manifest listing the same Contest Index more than once within the same Ballot Style. (It is common for a Contest Index to be listed in multiple Ballot Styles.)",sci,,,
S3.1.3.g,"The Election Manifest, for each Contest, may specify a nonnegative integer Contest Selection Limit.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.g,"For any Contest for which a Contest Selection Limit is not specfied, an effective value of 1 is used as the default.",ics,,50,"Implementation code exists covering a portion of code paths considered substantial"
S3.1.3.g,"The effective Contest Selection Limit limits the maximum total value (i.e., number of votes or voter selections) that can be assigned over all Selectable Options in that contest.",ics,,50,"Implementation code exists covering a portion of code paths considered substantial"
S3.1.3.g,"EGRI may warn if any effective Contest Selection Limit is zero",nyi,,4,"Not yet implemented"
S3.1.3.g,"The Election Manifest, for each Selectable Option in each Contest, may specify a nonnegative integer Option Selection Limit.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.g,"For any Selectable Option for which a Option Selection Limit is not specfied, an effective value of 1 is used as the default.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.g,"EGRI may warn if any effective Option Selection Limit is zero",nyi,,4,"Not yet implemented"
S3.1.3.g,"The effective Option Selection Limit limits the maximum value (i.e., number of votes) that can be assigned to that particular Selectable Option.",ics,,50,"Implementation code exists covering a portion of code paths considered substantial"
S3.1.3.g,"The effective Selection Limit limits the maximum value that can be assigned to that Selectable Option",ics,,50,"Implementation code exists covering a portion of code paths considered substantial"
S3.1.3.g,"If an effective (specified or defaulted) Option Selection Limit exceeds the effective (specified or defaulted) Contest Selection Limit, EGRI applies the smaller value. EGRI may emit a diagnostic message in this case.",ics,,50,"Implementation code exists covering a portion of code paths considered substantial"
S3.1.3.g,"If the sum of all effective (specified or defaulted) Option Selection Limits for a Contest exceeds that Contest's effective (specified or defaulted) Contest Selection Limit, EGRI applies the smaller value. This is an ordinary case for which EGRI should not emit a specific diagnostic message.",ics,,50,"Implementation code exists covering a portion of code paths considered substantial"
S3.1.3.h,"Election Manifest offers optional data fields for accompanying data.",nfd,"",2,"Needs further discussion"
S3.1.3.h,"Election Manifest allows Accompanying Data Fields to be applied at the top level.",nfd,"",2,"Needs further discussion"
S3.1.3.h,"Election Manifest allows Accompanying Data Fields to be applied to Contests. Note: These are different from Additional Contest Data Fields which may be recorded after the Selectable Option Fields on a Ballot.",nfd,"",2,"Needs further discussion"
S3.1.3.h,"Election Manifest allows Accompanying Data Fields to be applied to Selectable Options.",nfd,"",2,"Needs further discussion"
S3.1.3.h,"Election Manifest allows Accompanying Data Fields to be applied to Ballot Styles.",nfd,"",2,"Needs further discussion"
S3.1.3.h,"Election Manifest Accompanying Data Fields may go beyond short labels.",nfd,"",2,"Needs further discussion"
S3.1.3.h,"Election Manifest Accompanying Data Fields may be non-unique.",nfd,"",2,"Needs further discussion"
S3.1.3.h,"Election Manifest Accompanying Data Fields may describe general information about the election.",nfd,"",2,"Needs further discussion"
S3.1.3.h,"Election Manifest Accompanying Data Fields may describe general information about the jurisdiction.",nfd,"",2,"Needs further discussion"
S3.1.3.h,"Election Manifest Accompanying Data Fields may describe general information about the election device manufacturers.",nfd,"",2,"Needs further discussion"
S3.1.3.h,"Election Manifest Accompanying Data Fields may describe general information about software versions.",nfd,"",2,"Needs further discussion"
S3.1.3.h,"Election Manifest Accompanying Data Fields may describe general information about the election date.",nfd,"",2,"Needs further discussion"
S3.1.3.h,"Election Manifest Accompanying Data Fields may describe general information about the election location.",nfd,"",2,"Needs further discussion"
S3.1.3.h,"EGRI allows an Election Manifest to specify many other things, including things not listed here.",nfd,"",2,"Needs further discussion"
S3.1.3.j,"'Undervoted Contest Condition' is a per-contest state in which the sum of the voter selections is strictly less than the contest selection limit",nyi,,4,"Not yet implemented"
S3.1.3.j,"Election Manifest allows to specify whether to record Undervoted Contest Conditions (unless the Contest specifies otherwise).",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.j,"Election Manifest allows to specify, for each Contest, whether to record the Undervoted Contest Condition for that Contest.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.j,"If a Contest is specified to record Undervoted Contest Conditions, an additional Contest Data Field is recorded, on every Ballot having that Contest in its Ballot Style, after the Contest Option Fields and any other additional Contest Data Fields described earlier in this specification (None currently). The value of this additional Contest Data Field is `1` to record the Undervoted Contest Condition and `0` otherwise.",nyi,,4,"Not yet implemented"
S3.1.3.j,"If a Contest is specified to record Undervoted Contest Conditions, any value assigned to the additional Contest Data Field does not count against the voter's Contest Selection Limit.",nyi,,4,"Not yet implemented"
S3.1.3.j,"If a Contest is specified to record Undervoted Contest Conditions, an additional Range Proof is recorded that the encrypted value of the additional Contest Data Field is either `0` or `1`.",nyi,,4,"Not yet implemented"
S3.1.3.k,"Election Manifest allows to specify whether to record the Undervote Difference Count for that Contest.",utsutspp,,,
S3.1.3.k,"Election Manifest allows to specify, for each Contest, whether to record the Undervote Difference Count for that Contest.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.k,"If a Contest is specified to record Undervote Difference Count, an additional Contest Data Field is recorded, on every Ballot having that Contest in its Ballot Style, after the Contest Option Fields and any other additional Contest Data Fields described earlier in this specification. The value of this additional Contest Data Field is the (saturating) difference (i.e., nonnegative) between the effective Contest Selection Limit and the the sum of the voter selections for that Contest. This value will not exceed the effective Contest Selection Limit.",nyi,,4,"Not yet implemented"
S3.1.3.k,"If a Contest is specified to record Undervote Difference Count, an additional Range Proof is recorded that the encrypted value of the additional Contest Data Field is `0` through the effective Contest Selection Limit, inclusive.",nyi,,4,"Not yet implemented"
S3.1.3.l,"An 'Overvoted Contest Condition' is considered to have occurred for a specific Contest on a specific Ballot when the the sum of the selections is strictly greater than the contest Selection Limit.",nyi,,4,"Not yet implemented"
S3.1.3.l,"Election Manifest allows to specify, for each Contest, whether to record the Overvoted Contest Condition for that contest.",nyi,,4,"Not yet implemented"
S3.1.3.l,"If not specified, EGRI does not record the Overvoted Contest Condition.",nyi,,4,"Not yet implemented"
S3.1.3.l,"If a Contest is specified to record Overvoted Contest Conditions, an additional Contest Data Field is recorded, on every Ballot having that Contest in its Ballot Style, after the Contest Option Fields and any other additional Contest Data Fields described earlier in this specification. The value of this additional Contest Data Field is `1` to record the Overvoted Contest Condition and `0` otherwise.",nyi,,4,"Not yet implemented"
S3.1.3.l,"If a Contest is specified to record Overvoted Contest Conditions, an additional Range Proof is recorded that the encrypted value of the additional Contest Data Field is either `0` or `1`.",nyi,,4,"Not yet implemented"
S3.1.3.l,"'Overvoted Option Condition' is a per-contest-option state in which the selection count is strictly greater than the option selection limit",nyi,,4,"Not yet implemented"
S3.1.3.l,"Election Manifest allows to specify, for each Contest Option, whether to record the Overvoted Option Condition for that Option.",nyi,,4,"Not yet implemented"
S3.1.3.l,"If not specified, EGRI does not record the Overvoted Option Condition.",nyi,,4,"Not yet implemented"
S3.1.3.l,"If a Contest Option is specified to record Overvoted Option Conditions, an additional Contest Data Field is recorded, on every Ballot having that Contest in its Ballot Style, after the Contest Option Fields, any other Contest Data Fields recording Overvoted Option Condition for lower-index Options, and any other additional Contest Data Fields described earlier in this specification. The value of this additional Contest Data Field is `1` to record the Overvoted Option Condition and `0` otherwise.",nyi,,4,"Not yet implemented"
S3.1.3.l,"If a Contest is specified to record Overvoted Option Conditions, an additional Range Proof is recorded that the encrypted value of the additional Contest Data Field is either `0` or `1`.",nyi,,4,"Not yet implemented"
S3.1.3.m,"'Null Voted Contest Condition' is a per-contest state in which the sum of the voter selections is strictly less than the contest selection limit",nyi,,4,"Not yet implemented"
S3.1.3.m,"Election Manifest allows to specify, for each Contest, whether to record the Null Voted Contest Condition for that Contest.",nyi,,4,"Not yet implemented"
S3.1.3.m,"If not specified, EGRI does not record the Null Voted Contest Condition.",nyi,,4,"Not yet implemented"
S3.1.3.m,"If a Contest is specified to record Null Voted Contest Conditions, an additional Contest Data Field is recorded, on every Ballot having that Contest in its Ballot Style, after the Contest Option Fields and any other additional Contest Data Fields described earlier in this specification. The value of this additional Contest Data Field is `1` to record the Null Voted Contest Condition and `0` otherwise.",nyi,,4,"Not yet implemented"
S3.1.3.m,"If a Contest is specified to record Null Voted Contest Conditions, any value assigned to the additional Contest Data Field does not count against the voter's Contest Selection Limit.",nyi,,4,"Not yet implemented"
S3.1.3.m,"If a Contest is specified to record Null Voted Contest Conditions, an additional Range Proof is recorded that the encrypted value of the additional Contest Data Field is either `0` or `1`.",nyi,,4,"Not yet implemented"
S3.1.3.n,"Election Manifest allows to specify, for each Contest, whether to record the Total Number Of Write-ins selected for that Contest.",nyi,,4,"Not yet implemented"
S3.1.3.n,"If not specified, EGRI does not record the Total Number Of Write-ins.",nyi,,4,"Not yet implemented"
S3.1.3.n,"If a Contest is specified to record Total Number Of Write-ins, an additional Contest Data Field is recorded, on every Ballot having that Contest in its Ballot Style, after the Contest Option Fields and any other additional Contest Data Fields described earlier in this specification. The value of this additional Contest Data Field is the (nonnegative integer) total number of write-ins the voter selected for that Contest. This value must not exceed the effective Contest Selection Limit.",nyi,,4,"Not yet implemented"
S3.1.3.n,"If a Contest is specified to record Total Number Of Write-ins, any value assigned to the additional Contest Data Field does not count against the voter's Contest Selection Limit.",nyi,,4,"Not yet implemented"
S3.1.3.n,"If a Contest is specified to record Total Number Of Write-ins, an additional Range Proof is recorded that the encrypted value of the additional Contest Data Field is `0` through the effective Contest Selection Limit, inclusive.",nyi,,4,"Not yet implemented"
S3.1.3.n,"EGRI may emit a diagnostic message if any contest specifies a number of write-in fields greater than the contest selection limit",nyi,,4,"Not yet implemented"
S3.1.3.n,"Election Manifest allows to specify, for each Contest, the number of write-in fields available to the voter.",nyi,,4,"Not yet implemented"
S3.1.3.n,"If a Contest is specified to supply a nonzero number of write-in fields, the Contest has that number of additional 'write-in N' voter-selectable Contest Options.",nyi,,4,"Not yet implemented"
S3.1.3.n,"Any such write-in fields are to be labeled by the system as ""write-in N"", where 'N' is the 1-based index value of the write-in field. (This will be greater than the Contest Option Field Index value by the number of non-write-in voter-Selectable Options.)",nyi,,4,"Not yet implemented"
S3.1.3.g,"The Election Manifest, for each additional 'write-in N' voter-selectable Contest Option, may specify a nonnegative integer Option Selection Limit with the same defaults and other semantics as non-write-in Contest Options. (ref: S3.1.3.g)",nyi,,4,"Not yet implemented"
S3.1.3.n,"""Written-in"" means that the election system has recorded some voter-supplied, non-empty, non-blank data associated with a contest and write-in field index value",nyi,,4,"Not yet implemented"
S3.1.3.n,"Every write-in field that *was not* written-in MUST be assigned a value of `0`.",nyi,,4,"Not yet implemented"
S3.1.3.n,"Every write-in field that *was* written-in MUST be assigned a value of `1` or greater, and subject to the same rules for Effective Option Selection Limit as other voter-Selectable Options.",nyi,,4,"Not yet implemented"
S3.1.3.n,"The value of a write-in field counts against the effective Contest Selection Limit",nyi,,4,"Not yet implemented"
S3.1.3.n,"For every Write-in field, an additional Range Proof is recorded that the encrypted value is either `0` or `1`.",nyi,,4,"Not yet implemented"
S3.1.3.n,"Josh 2025-03-18: A write-in field can not have an effective Option Selection Limit greater than `1`.",nyi,,4,"Not yet implemented"
S3.1.3.o,"A canonical byte representation is defined for the Election Manifest.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.3.o,"EGRI allows to write the Election Manifest canonical representation to a file.",ics,,50,"Implementation code exists covering a portion of code paths considered substantial"
S3.1.4.a,"EGRI computes H_B from H_P and the Election Manifest canonical representation as specified in EG DS v2.1.0 eq. 5.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.1.4.b.verif1,"TODO: Verification 1","",,,
S3.2.a,"EGRI allows to specify the number of Guardians `n` prior to a Key Ceremony.",uts,,65,"Unit tests exercising a portion of code paths considered sufficient exist"
S3.2.a,"EGRI allows to specify the quorum value `k` prior to a Key Ceremony.",uts,,65,"Unit tests exercising a portion of code paths considered sufficient exist"
S3.2.a,"EGRI rejects values of `n` less than `1`.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.2.a,"EGRI rejects values of `n` greater than `2^31 - 1`.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.2.a,"EGRI rejects values of `k` less than `1`.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.2.a,"EGRI rejects values of `k` greater than `n`.",ics,,50,"Implementation code exists covering a portion of code paths considered substantial"
S3.2.c,"(Ref: S2.b) Guardians can generate individual public-secret key pairs",utep,,60,"At least one unit test exercising a relevant code path is passing"
S3.2.c,"(Ref: S2.b) Guardians can exchange shares of secret keys",ute,,55,"At least one unit test exercising a relevant code path exists"
S3.2.c,"(Ref: S3.a.a.b) ""EGRI requires that a complete new set of keys must be generated if even a single guardian is replaced""",na,,1,"Not directly applicable to implementation code"
S3.2.c,"EGRI rejects any election data unless 1 <= k <= n < 2^31",ics,,50,"Implementation code exists covering a portion of code paths considered substantial"
S3.2.c,"Each Guardian is associated with a human readable identifier referred to as the 'Guardian Name'.",utep,,60,"At least one unit test exercising a relevant code path is passing"
S3.2.c,"EGRI accepts Guardian labels composed of printable characters and (internal, non-contiguous) 0x20 space characters.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.2.c,"EGRI rejects Guardian labels that contain line break characters.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.2.c,"EGRI rejects Guardian labels that have leading or trailing whitespace.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.2.c,"EGRI rejects Guardian labels that contain contiguous sequences of whitespace other than a single 0x20 space.",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.2.c,"EGRI rejects Guardian labels that contain special characters (Unicode Category Cc, Cf, Zs, Zl, Zp, or Cs).",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.2.c,"EGRI rejects Guardian labels having no printable characters",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.2.c,"EGRI rejects Guardian labels that decode to a Unicode malformed surrogate pair (Unicode Category Cs). See [JSON RFC Errata 7603](https://www.rfc-editor.org/errata/eid7603)",ics,"difficult to test because the Rust std lib rejects malformed UTF-8",50,"Implementation code exists covering a portion of code paths considered substantial"
S3.2.c,"Ballots are encrypted using threshold encryption",ute,,55,"At least one unit test exercising a relevant code path exists"
S3.2.c,"(Ref: S2.b) ""At the successful completion of the Key Generation Ceremony, EGRI enables the combination of Guardian Vote Encryption Public keys to form the Joint Vote Encryption Public Key.""",ute,,55,"At least one unit test exercising a relevant code path exists"
S3.2.c,"(Ref: S2.b) ""At the successful completion of the Key Generation Ceremony, EGRI enables the combination of Guardian Ballot Data Encryption Public keys to form the Joint Ballot Data Encryption Public Key.""",ute,,55,"At least one unit test exercising a relevant code path exists"
S3.2.c,"(Ref: S2.b) Every guardian can Shamir-share their secret keys during key generation",uts,,65,"Unit tests exercising a portion of code paths considered sufficient exist"
S3.2.c,"(Ref: S2.c.c) Voter Selections can be encrypted to the Joint (Vote|Ballot Data) Encryption Public Keys.",ute,,55,"At least one unit test exercising a relevant code path exists"
S3.2.c,"(Ref: S3.a.f.c) ""EGRI enables a Guardian to compute a verifiable partial decryption of the tally of every Contest Option Field and additional Contest Data Field.""",ute,,55,"At least one unit test exercising a relevant code path exists"
S3.2.c,"(Ref: S3.a.f.c) ""EGRI enables a quorum of `k` distinct Guardian (Vote|Ballot Data) Encryption Secret Keys to form full verifiable decryptions of the election tallies by combining the verifiable partial decryptions of the tallies of every Contest Option Field and additional Contest Data Field.""",ute,,55,"At least one unit test exercising a relevant code path exists"
S3.2.c,"(Ref: S3.a.f.d) ""Fewer than `k` distinct Guardian (Vote|Ballot Data) Encryption Secret Keys can not produce a full decryption of any tally""",na,,1,"Not directly applicable to implementation code"
S3.2.1,"(Ref: S2.b) Guardians can exchange shares of secret keys",uts,,65,"Unit tests exercising a portion of code paths considered sufficient exist"
S3.2.1,"Receiving Guardians can confirm that the key shares they receive are correct",uts,,65,"Unit tests exercising a portion of code paths considered sufficient exist"
S3.2.1,"Every Guardian can generate an independent public-secret key pair by generating a random integer secret s_i in Z_q",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.2.1,"Every Guardian can form their Guardian public key as K_i = g^{s_i} mod p",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.2.1,"The Election Record contains every Guardian's public key",nyi,,4,"Not yet implemented"
S3.2.1,"The Election Record contains, for every Guardian public key, a non-interactive zero-knowledge Schnorr proof of knowledge of the associated secret key",ics,,50,"Implementation code exists covering a portion of code paths considered substantial"
S3.2.1,"The Joint Vote Encryption Public Key `K` is computed as \prod_{i=1}^n K_i mod p",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.2.1,"Every guardian G_i can generate k - 1 random polynomial coefficients a_{i,j} such that 0 < j < k and 0 <= a_{i,j} < q",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.2.1,"Every guardian G_i can generate and publish commitments K_{i,j} = g^{a_{i,j}} mod p to each of its polynomial coefficients",utsp,,75,"Unit tests exercising a portion of code paths considered sufficient are passing"
S3.2.1,"Guardian polynomial coefficients are generated and managed in precisely the same fashion as secret keys",na,,1,"Not directly applicable to implementation code"
S3.2.1,"Individual Ballots can be homomorphically combined into a single Aggregate Ballot",ute,,55,"At least one unit test exercising a relevant code path exists"
S3.2.1,"The single Aggregate Ballot consists of an encryption of the tally for each contest (e.g. selection option) field",ute,,55,"At least one unit test exercising a relevant code path exists"
S3.2.1,"Any set of k guardians' private keys is sufficient to complete decryption of the tally for each contest (e.g. selection option) field",ics,,50,"Implementation code exists covering a portion of code paths considered substantial"
S3.2.1,"EGRI enables any set of `k` distinct Guardian Vote Encryption Secret Keys to complete the decryption of the tally for each Contest Option and additional Contest Data Fields. (Ref: S3.a.f.c)",ute,,55,"At least one unit test exercising a relevant code path exists"
S3.2.1,"No set of fewer than `k` distinct Guardian Vote Encryption Secret Keys is sufficient to complete the the decryption of the tally for any Contest Option or additional Contest Data Field.",na,,1,"Not directly applicable to implementation code"
S3.2.2.a,"(Ref: S2.b) Key Ceremony",ace,,3,"Applicable to implementation code, but more directly covered elsewhere"
S3.2.2.a,"(Ref: S2.b) ""EGRI enables a Guardian to generate its own Vote Encryption (Public|Secret) Key pair prior to the start of voting or RLA.""",ace,,3,"Applicable to implementation code, but more directly covered elsewhere"
S3.2.2.a,"EGRI enables a Guardian `i` to generate and store `k` secret polynomial coefficients (indexed as `0 <= j < k`) by sampling a CSRNG uniformly as `0 < a_{i,j} < q` for their Guardian Vote Encryption Key pair.","",,,
S3.2.2.a,"EGRI enables a Guardian `i` to generate, store, and publish a Schnorr proof of knowledge for each of its k secret polynomial coefficients (indexed as `0 <= j < k`) for their Guardian Vote Encryption Key pair.","",,,
S3.2.2.b,"(Ref: S2.b) Key Ceremony",ace,,3,"Applicable to implementation code, but more directly covered elsewhere"
S3.2.2.b,"(Ref: S2.b) ""EGRI enables a Guardian to generate its own Ballot Data Encryption (Public|Secret) Key pair prior to the start of voting or RLA.""",ace,,3,"Applicable to implementation code, but more directly covered elsewhere"
S3.2.2.b,"EGRI enables a Guardian `i` to generate and store `k` secret polynomial coefficients (indexed as `0 <= j < k`) by sampling a CSRNG uniformly as `0 < a_{i,j} < q` for their Guardian Ballot Data Encryption Key pair.","",,,
S3.2.2.b,"EGRI enables a Guardian `i` to generate, store, and publish a Schnorr proof of knowledge for each of its k secret polynomial coefficients (indexed as `0 <= j < k`) for their Guardian Vote Encryption Key pair.","",,,
S3.2.2.c,"(Ref: S2.b) Key Ceremony",ace,,3,"Applicable to implementation code, but more directly covered elsewhere"
S3.2.2.c,"(Ref: S2.b) ""EGRI enables a Guardian to generate its own Guardian Communication (Public|Secret) Key pair prior to the start of voting or RLA.""",ace,,3,"Applicable to implementation code, but more directly covered elsewhere"
S3.2.2.c,"EGRI enables a Guardian `i` to generate and store a uniformly random value $\zeta_i \in \Z_q$ as its Guardian Communication Secret Key","",,,
S3.2.2.c,"EGRI enables a Guardian `i` to derive and store Guardian Communication Public Key as \kappa_i = g^{\zeta_i} \bmod p. eq. 9","",,,
S3.2.2.d,"After having generated its own Vote Encryption Secret Key and Guardian Communication Secret Key, EGRI enables a Guardian `i` to generate an NIZK proof of knowledge of secrets $a_{i,j}$ and of $\zeta_i$ as specified in EG DS v2.1.0 eq. 10 - 11","",,,
S3.2.2.d,"EGRI enables a Guardian to publish its NIZK proof of knowledge of secrets $a_{i,j}$ and of $\zeta_i$.","",,,
S3.2.2.e,"After having generated its own Ballot Data Encryption Secret Key and Guardian Communication Secret Key, EGRI enables a Guardian `i` to generate and publish an NIZK proof of knowledge of secrets $\hat{a}_{i,j}$ and of $\zeta_i$ as specified in EG DS v2.1.0 eq. 10 - 11","",,,
S3.2.2.e,"EGRI enables a Guardian to publish its NIZK proof of knowledge of secrets $\hat{a}_{i,j}$ and of $\zeta_i$.","",,,
S3.2.2.f.verif2,"TODO: Verification 2 Note: Required for (Ref: S3.2.2.o Details of Key Generation - Share verification and the guardian record)",ace,,3,"Applicable to implementation code, but more directly covered elsewhere"
S3.2.2.i,"(Ref: S2.b) Key Ceremony",ace,,3,"Applicable to implementation code, but more directly covered elsewhere"
S3.2.2.i,"(Ref: S2.b) EGRI enables a Guardian `i` to encrypt to another Guardian `l` Guardian Communication Public Key a share of each of its own (Vote|Ballot Data) Encryption Secret Keys, $P_i(\ell)$ and $\hat{P}_i(\ell)$, as specified in EG DS v2.1.0 eq. 15 - 22",ace,,3,"Applicable to implementation code, but more directly covered elsewhere"
S3.2.2.i,"(Ref: S2.b) EGRI enables a Guardian to publish the encryption $E_\ell(P_i(\ell), \hat{P}_i(\ell))$ of its secret key shares $P_i(\ell)$ and $\hat{P}_i(\ell)$ for every other guardian $G_\ell$",ace,,3,"Applicable to implementation code, but more directly covered elsewhere"
S3.2.2.j,"(Ref: S3.2.2.i) EGRI enables a receiving Guardian `l` to verify or refute the Schnorr proof $C_{i,\ell,2} = (\bar c_{i,\ell},\bar v_{i,\ell})$ from sending Guardian `i` as part of the share of each of Guardian `i`'s (Vote|Ballot Data) Encryption Secret Keys as specified in EG DS v2.1.0 eq. 22.",ace,,3,"Applicable to implementation code, but more directly covered elsewhere"
S3.2.2.j,"If the Schnorr proof successfully verifies, EGRI enables receiving Guardian `l` to decrypt the ciphertext as specified in EG DS v2.1.0 eq. 23.","",,,
S3.2.2.k,"EGRI enables a Guardian `i` to compute its share $z_i = P(i)$ of the Joint Vote Encryption Secret key as specified in EG DS v2.1.0 eq. 24.","",,,
S3.2.2.k,"EGRI enables a Guardian `i` to compute its share $z_i = P(i)$ of the Joint Ballot Data Encryption Secret key as specified in EG DS v2.1.0 eq. 24.","",,,
S3.2.2.l,"(Ref: S2.b) ""At the successful completion of the Key Generation Ceremony, EGRI enables the combination of Guardian Vote Encryption Public keys to form the Joint Vote Encryption Public Key.""",ace,,3,"Applicable to implementation code, but more directly covered elsewhere"
S3.2.2.l,"EGRI enables the computation of the Joint Vote Encryption Public Key specified in eq. 25.",utep,,60,"At least one unit test exercising a relevant code path is passing"
